product_id,onsale_web,price,stock_quantity,stock_status,purchase_price,product_id_raw,id_web,id_web_raw,sku,sku_raw,total_sales,product_type,post_type,post_title,web_match_status
5958,1,8.7,44,instock,4.5,5958,15577,15577,15577,15577,15.0,Vin,product,Domaine Labranche Laffont Madiran Tradition 2016,both
5959,1,15.4,24,instock,7.72,5959,15766,15766,15766,15766,9.0,Vin,product,Domaine Labranche Laffont Madiran Vieilles Vignes 2015,both
5960,1,12.7,40,instock,6.36,5960,15892,15892,15892,15892,12.0,Vin,product,Domaine Labranche Laffont Pacherenc du Vic-Bilh Sec 2017,both
5962,1,30.0,8,instock,15.5,5962,16326,16326,16326,16326,5.0,Vin,product,Camin Larredya Jurançon Moelleux Au Capcéu 2018,both
5963,1,13.5,34,instock,6.63,5963,15574,15574,15574,15574,10.0,Vin,product,Domaine de l'Ancienne Cure Bergerac Blanc Sec L'Abbaye 2016,both
5964,1,16.3,31,instock,8.51,5964,13662,13662,13662,13662,13.0,Vin,product,Domaine de l'Ancienne Cure Pécharmant L'Abbaye 2015,both
5967,1,56.3,5,instock,30.54,5967,11669,11669,11669,11669,3.0,Vin,product,Zind-Humbrecht Gewurztraminer Clos Windsbuhl 2012,both
5968,1,71.5,9,instock,35.83,5968,13215,13215,13215,13215,5.0,Vin,product,Zind-Humbrecht Pinot Gris Clos Windsbuhl 2013,both
5969,1,69.0,10,instock,37.43,5969,13211,13211,13211,13211,6.0,Vin,product,Zind-Humbrecht Riesling Clos Windsbuhl 2014,both
6035,1,17.9,13,instock,9.34,6035,15342,15342,15342,15342,6.0,Vin,product,Zind-Humbrecht Muscat Turckheim 2016,both
6038,1,48.5,0,outofstock,25.31,6038,15318,15318,15318,15318,0.0,Vin,product,I Fabbri Chianti Classico Gran Selezione 2015,both
6041,1,71.7,11,instock,36.3,6041,13073,13073,13073,13073,6.0,Vin,product,Château de Vaudieu Châteauneuf-du-Pape Amiral G 2015,both
6042,1,8.5,25,instock,4.57,6042,16159,16159,16159,16159,9.0,Vin,product,Domaine La Croix Belle Côtes de Thongue Rosé Les Grillons 2019,both
6047,1,10.9,29,instock,5.58,6047,16264,16264,16264,16264,11.0,Vin,product,Château de La Liquière Faugères L'Ampoule 2019,both
6049,1,21.8,30,instock,10.81,6049,14899,14899,14899,14899,9.0,Vin,product,Christophe Pichon Saint-Joseph Blanc 2017,both
6050,1,38.5,0,outofstock,20.09,6050,15134,15134,15134,15134,6.0,Vin,product,Christophe Pichon Condrieu 2017,both
6070,1,9.3,30,instock,4.95,6070,16133,16133,16133,16133,11.0,Vin,product,Borie La Vitarèle Pays d'Hérault Les Cigales 2019,both
6072,1,13.6,3,instock,7.03,6072,16028,16028,16028,16028,1.0,Vin,product,Clos du Mont-Olivet Côtes-du-Rhône Blanc 2019,both
6073,1,24.5,29,instock,12.41,6073,15951,15951,15951,15951,9.0,Vin,product,Jacqueson Rully Rouge 1er Cru Les Preaux 2018,both
6093,1,12.6,51,instock,6.71,6093,15487,15487,15487,15487,15.0,Vin,product,Château de Villeneuve Saumur-Champigny 2017,both
6094,1,13.4,24,instock,6.65,6094,15486,15486,15486,15486,10.0,Vin,product,Château de Villeneuve Saumur-Champigny Clos de la Bienboire 2018,both
6095,1,29.8,31,instock,15.86,6095,15489,15489,15489,15489,10.0,Vin,product,Château de Villeneuve Saumur-Champigny Le Grand Clos 2017,both
6100,0,12.9,0,outofstock,6.47,6100,15529,15529,,,,,,,left_only
6101,1,36.9,4,instock,20.02,6101,14089,14089,14089,14089,3.0,Vin,product,Stéphane Tissot Arbois Blanc La Mailloche 2016,both
6103,1,40.7,7,instock,21.87,6103,14100,14100,14100,14100,6.0,Vin,product,Stéphane Tissot Arbois Trousseau Amphore 2017,both
6104,1,33.2,7,instock,17.84,6104,14092,14092,14092,14092,4.0,Vin,product,Stéphane Tissot Arbois Blanc Savagnin 2015,both
6105,1,34.8,5,instock,17.8,6105,14090,14090,14090,14090,4.0,Vin,product,Stéphane Tissot Côtes du Jura Sursis 2017,both
6106,1,74.8,3,instock,40.19,6106,14106,14106,14106,14106,2.0,Vin,product,Stéphane Tissot Château-Chalon 2011,both
6107,1,62.4,7,instock,31.27,6107,14101,14101,14101,14101,5.0,Vin,product,Stéphane Tissot Arbois Vin Jaune En Spois 2011,both
6108,1,46.0,7,instock,24.72,6108,14797,14797,14797,14797,4.0,Vin,product,Gilles Robin Cornas 2016,both
6109,1,39.2,17,instock,21.06,6109,15201,15201,15201,15201,9.0,Vin,product,Gilles Robin Saint-Joseph Rouge André Péalat 2010,both
6125,0,14.2,0,outofstock,7.26,6125,,,,,,,,,left_only
6126,1,135.0,138,instock,80.33,6126,14923,14923,14923,14923,5.0,Champagne,product,Champagne Gosset Célébris Vintage 2007,both
6127,1,10.6,32,instock,5.42,6127,14573,14573,14573,14573,12.0,Vin,product,Moulin de Gassac IGP Pays d'Hérault Rouge Mazet du Levant 2017,both
6128,1,10.6,45,instock,5.64,6128,14569,14569,14569,14569,13.0,Vin,product,Moulin de Gassac IGP Pays d'Hérault Blanc Faune 2017,both
6129,1,5.2,68,instock,2.74,6129,14570,14570,14570,14570,20.0,Vin,product,Moulin de Gassac IGP Pays d'Hérault Guilhem Blanc 2017,both
6137,1,46.0,7,instock,24.0,6137,15834,15834,15834,15834,6.0,Vin,product,Domaine de Vaccelli Ajaccio Blanc Sirocco 2017,both
6201,1,105.6,16,instock,57.29,6201,14596,14596,14596,14596,6.0,Vin,product,David Duband Chambolle-Musigny 1er Cru Les Sentiers 2016,both
6202,1,116.4,12,instock,63.15,6202,15126,15126,15126,15126,5.0,Vin,product,Domaine Clerget Echezeaux Grand Cru En Orveaux 2015,both
6204,1,31.0,17,instock,15.86,6204,14604,14604,14604,14604,9.0,Vin,product,Domaine Giudicelli Muscat du Cap Corse 2016,both
6205,1,20.2,38,instock,10.54,6205,16565,16565,16565,16565,11.0,Vin,product,Domaine Giudicelli Vin de France Corail Rouge 2019,both
6206,1,25.2,16,instock,13.15,6206,16580,16580,16580,16580,8.0,Vin,product,Domaine Giudicelli Patrimonio Blanc 2019,both
6207,1,25.2,22,instock,12.89,6207,16077,16077,16077,16077,9.0,Vin,product,Domaine Giudicelli Patrimonio Rouge 2016,both
6212,1,115.0,16,instock,59.42,6212,13996,13996,13996,13996,7.0,Vin,product,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2015,both
6213,1,121.0,9,instock,63.14,6213,15072,15072,15072,15072,3.0,Vin,product,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2016,both
6214,1,99.0,9,instock,49.62,6214,11601,11601,11601,11601,6.0,Vin,product,Domaine des Comtes Lafon Volnay 1er Cru Champans 2013,both
6215,1,115.0,14,instock,56.45,6215,12790,12790,12790,12790,4.0,Vin,product,Domaine des Comtes Lafon Volnay 1er Cru Champans 2014,both
6216,1,121.0,14,instock,60.02,6216,15070,15070,15070,15070,2.0,Vin,product,Domaine des Comtes Lafon Volnay 1er Cru Champans 2016,both
6221,1,23.5,22,instock,12.02,6221,16096,16096,16096,16096,7.0,Vin,product,Planeta Sicilia Eruzione 1614 2017,both
6222,1,26.4,29,instock,13.23,6222,7032,7032,7032,7032,10.0,Vin,product,Planeta Sicilia Passito di Noto 2016,both
6223,1,26.7,17,instock,13.8,6223,15324,15324,15324,15324,6.0,Vin,product,Planeta Sicilia Chardonnay 2017,both
6225,1,20.4,26,instock,10.22,6225,15162,15162,15162,15162,8.0,Vin,product,Le Pas de l'Escalette IGP Hérault Ze Cinsault 2017,both
6226,1,20.4,26,instock,10.96,6226,15161,15161,15161,15161,10.0,Vin,product,Le Pas de l'Escalette Terrasses du Larzac Le Pas de D. 2017,both
6227,1,40.2,11,instock,21.39,6227,15163,15163,15163,15163,8.0,Vin,product,Le Pas de l'Escalette Terrasses du Larzac Les Frieys 2017,both
